күбүр-шыбыр;тууранды сөз;;;;
күңк-мыңк;тууранды сөз;;;;
корс-корс;тууранды сөз;;;;
карс-карс;тууранды сөз;;;;
шыр;тууранды сөз;;;;
чыйт;тууранды сөз;;;;
бырс;тууранды сөз;;;;
кыш-кыш;тууранды сөз;;;;
ха-ха;тууранды сөз;;;;
баа;тууранды сөз;;;;
кажы-кужу;тууранды сөз;;;;
кор-кор;тууранды сөз;;;;
апчхи;тууранды сөз;;;;
арс-арс;тууранды сөз;;;;
дабыр-дүбур;тууранды сөз;;;;
каак;тууранды сөз;;;;
бутпылдык;тууранды сөз;;;;
чыйт-чыйт;тууранды сөз;;;;
дың-дың;тууранды сөз;;;;
ыз-ыз;тууранды сөз;;;;
ышш-ышш;тууранды сөз;;;;
даң;тууранды сөз;;;;
калдыр-кулдур;тууранды сөз;;;;
тык-тык;тууранды сөз;;;;
карс;тууранды сөз;;;;
качыр-кучур;тууранды сөз;;;;
дүп;тууранды сөз;;;;
дүңгүр;тууранды сөз;;;;
шалдыр-шулдур;тууранды сөз;;;;
шуу;тууранды сөз;;;;
балч;тууранды сөз;;;;
былч;тууранды сөз;;;;
шылдыр;тууранды сөз;;;;
болк-болк;тууранды сөз;;;;
кыйч-кыйч;тууранды сөз;;;;
күр-күр;тууранды сөз;;;;
шатыр-шатыр;тууранды сөз;;;;
тарс;тууранды сөз;;;;
аксаң;тууранды сөз;;;;
бүкүрөң;тууранды сөз;;;;
серең-серең;тууранды сөз;;;;
үрпөң;тууранды сөз;;;;
жылт;тууранды сөз;;;;
жарк;тууранды сөз;;;;
жарк-журк;тууранды сөз;;;;
дирт;тууранды сөз;;;;
селт;тууранды сөз;;;;
тайраң-тайраң;тууранды сөз;;;;
арбаң-тарбаң;тууранды сөз;;;;
опоң-опоң;тууранды сөз;;;;
тыртаң-тыртаң;тууранды сөз;;;;
делдең;тууранды сөз;;;;
шып;тууранды сөз;;;;
кылт;тууранды сөз;;;;
пай-пай;сырдык сөз;;;;
бали;сырдык сөз;;;;
эх;сырдык сөз;;;;
ий;сырдык сөз;;;;
чиркин-ай;сырдык сөз;;;;
төх;сырдык сөз;;;;
аттиң-ай;сырдык сөз;;;;
кокуй;сырдык сөз;;;;
ура-а;сырдык сөз;;;;
ай-ай-ай;сырдык сөз;;;;
тсс;сырдык сөз;;;;
чүшш;сырдык сөз;;;;
бөө;сырдык сөз;;;;
шүк;сырдык сөз;;;;
чү-чү;сырдык сөз;;;;
тү-тү-тү;сырдык сөз;;;;
өш-өш;сырдык сөз;;;;
чойт-чойт;сырдык сөз;;;;
кыруу-кыруу;сырдык сөз;;;;
күчү-күчү;сырдык сөз;;;;
хы;сырдык сөз;;;;
чиге;сырдык сөз;;;;
пыш;сырдык сөз;;;;
тү-тү;сырдык сөз;;;;
бо;сырдык сөз;;;;
саламатсызбы;сырдык сөз;;;;
ассаломалейкум;сырдык сөз;;;;
алейкумассалам;сырдык сөз;;;;
ыркмат;сырдык сөз;;;;
бар болуңуз;сырдык сөз;;;;
арыбаңыз;сырдык сөз;;;;
жакшы турасыңбы;сырдык сөз;ques;;;
эсенсизби;сырдык сөз;ques;;;
бирөө;сан атооч;coll;;;
экөө;сан атооч;coll;;;
үчөө;сан атооч;coll;;;
төртөө;сан атооч;coll;;;
бешөө;сан атооч;coll;;;
алтоо;сан атооч;coll;;;
жетөө;сан атооч;coll;;;
боз;сын атооч;;;;
бийик;сын атооч;;;;
бүкүр;сын атооч;;;;
борпоң;сын атооч;;;;
бош;сын атооч;;;;
буурул;сын атооч;;;;
бай;сын атооч;;;;
бек;сын атооч;;;;
башка;сын атооч;;;;
бекер;сын атооч;;;;
бат;сын атооч;;;;
белен;сын атооч;;;;
дилгир;сын атооч;;;;
далай;сын атооч;;;;
жашыл;сын атооч;;;;
жантык;сын атооч;;;;
жапыз;сын атооч;;;;
жука;сын атооч;;;;
жумуру;сын атооч;;;;
жалпак;сын атооч;;;;
жакшы;сын атооч;;;;
жаман;сын атооч;;;;
жылуу;сын атооч;;;;
жумшак;сын атооч;;;;
жеңил;сын атооч;;;;
жоон;сын атооч;;;;
жалкоо;сын атооч;;;;
жаңы;сын атооч;;;;
жарык;сын атооч;;;;
жалгыз;сын атооч;;;;
жаш;сын атооч;;;;
жарым;сын атооч;;;;
жеке;сын атооч;;;;
жетим;сын атооч;;;;
жылаңач;сын атооч;;;;
жакын;сын атооч;;;;
жакыр;сын атооч;;;;
жырык;сын атооч;;;;
зулум;сын атооч;;;;
залим;сын атооч;;;;
залкар;сын атооч;;;;
зор;сын атооч;;;;
ийри;сын атооч;;;;
ичке;сын атооч;;;;
кызыл;сын атооч;;;;
көк;сын атооч;;;;
кара;сын атооч;;;;
күрөң;сын атооч;;;;
калың;сын атооч;;;;
кочкул;сын атооч;;;;
кыйшык;сын атооч;;;;
кыңыр;сын атооч;;;;
көйрөң;сын атооч;;;;
коркок;сын атооч;;;;
курч;сын атооч;;;;
кырс;сын атооч;;;;
кычкыл;сын атооч;;;;
кайнак;сын атооч;;;;
кызык;сын атооч;;;;
кең;сын атооч;;;;
кыска;сын атооч;;;;
күлүк;сын атооч;;;;
куу;сын атооч;;;;
көркөм;сын атооч;;;;
какшык;сын атооч;;;;
кичине;сын атооч;;;;
кооз;сын атооч;;;;
көп;сын атооч;;;;
керемет;сын атооч;;;;
кош;сын атооч;;;;
каршы;сын атооч;;;;
көр;сын атооч;;;;
кичүү;сын атооч;;;;
кыйын;сын атооч;;;;
